run_id,g,alpha,training_mae,testing_mae,final_weight_norm,testing_corr
1,0.8,0.5,0.130651881261756,0.983141416921363,1.94220243044414,-0.356764876131851
2,0.8,1,0.151838722975496,0.839821485646464,1.50841904591523,-0.144626124236878
3,0.8,2,0.198806608462523,0.887019776736165,1.09464940458256,0.0912238921143697
4,1.2,0.5,0.0309124358931875,1.08524830961738,0.924326616748476,-0.0149024228836432
5,1.2,1,0.0642659451271208,0.671959599749732,0.88068732312273,0.106801734077908
6,1.2,2,0.0758201525093975,2.23662339036121,0.764687833492405,0.0805585950080954
7,1.5,0.5,0.01540433798382,1.48428698364489,0.472997747334021,0.110622649220042
8,1.5,1,0.021273816709892,1.21777412376546,0.537998957249581,0.000930207316888028
9,1.5,2,0.019147499106522,0.698315408542191,0.365444331468604,0.235622109350056
10,1.8,0.5,0.00617264147624671,1.06165008515011,0.269345517726725,-0.626480315846947
11,1.8,1,0.0098685487621493,1.06790041819165,0.300884883833162,-0.283369904837834
12,1.8,2,0.01273425766929,0.851350179687845,0.273486268272922,0.119400893779154
